MONTH,DAY_OF_WEEK,DEP_DEL15,DEP_TIME_BLK_ID,DISTANCE_GROUP,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_ID,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,PLANE_AGE,DEPARTING_AIRPORT_ID,PRCP,SNOW,SNWD,TMAX,AWND
1,7,0,4,2,25,143,15,13056,107363,8,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,3,7,29,191,7,13056,73508,3,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,2,7,27,199,7,13056,73508,18,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,2,9,27,180,7,13056,73508,2,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,1,7,10,182,16,13056,15023,1,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,1,3,10,180,9,13056,9496,5,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,3,6,29,186,9,13056,9496,2,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,1,1,7,10,186,9,13056,9496,3,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,1,7,10,180,9,13056,9496,3,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,2,8,27,186,9,13056,9496,1,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,1,19,6,17,180,9,13056,9496,3,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,2,1,27,149,1,13056,20315,3,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,8,1,26,119,1,13056,20315,12,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,2,2,27,146,1,13056,20315,7,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,2,4,27,181,1,13056,20315,2,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,1,3,4,29,181,1,13056,20315,4,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,4,4,25,181,1,13056,20315,4,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,1,11,10,294,10,13056,6791,6,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,5,11,28,294,10,13056,6791,5,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,3,1,29,181,3,13056,75506,5,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,2,8,27,187,3,13056,75506,18,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,4,2,25,173,17,13056,46218,6,45,0.0000,0.0000,0.0000,65.0000,2.9100
1,7,0,4,3,25,142,17,13056,46218,22,45,0.0000,0.0000,0.0000,65.0000,2.9100
